********************************************************************************
Field Output Report, written Wed Jul 05 10:40:49 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           609    -680.9E-03         3.400
           610    -690.7E-03         3.699
           611    -694.0E-03            4.
           612    -690.7E-03         4.301
           613    -680.9E-03         4.600
           614    -664.7E-03         4.898
           615    -642.0E-03         5.192
           616    -613.0E-03         5.482
           617    -577.9E-03         5.766
           618    -536.8E-03         6.044
           619    -490.1E-03         6.314
           620    -438.3E-03         6.576
           621    -382.0E-03         6.827
           622    -322.0E-03         7.066
           623    -259.2E-03         7.291
           624    -195.0E-03         7.501
           625    -130.2E-03         7.690
           626    -65.32E-03         7.858
           627    -37.78E-36            8.
           628    -67.53E-36     35.85E-36
           629    -80.93E-03     141.6E-03
           630    -162.0E-03     311.4E-03
           631    -243.2E-03     504.8E-03
           632    -323.6E-03     717.2E-03
           633    -401.4E-03     945.0E-03
           634    -475.1E-03         1.186
           635    -543.7E-03         1.437
           636    -606.2E-03         1.698
           637    -662.1E-03         1.968
           638    -711.1E-03         2.245
           639    -752.7E-03         2.528
           640    -787.0E-03         2.816
           641    -813.7E-03         3.108
           642    -832.9E-03         3.404
           643    -844.4E-03         3.701
           644    -848.2E-03            4.
           645    -844.4E-03         4.299
           646    -832.9E-03         4.596
           647    -813.7E-03         4.892
           648    -787.0E-03         5.184
           649    -752.7E-03         5.472
           650    -711.1E-03         5.755
           651    -662.1E-03         6.032
           652    -606.2E-03         6.302
           653    -543.7E-03         6.563
           654    -475.1E-03         6.814
           655    -401.4E-03         7.055
           656    -323.6E-03         7.283
           657    -243.2E-03         7.495
           658    -162.0E-03         7.689
           659    -80.93E-03         7.858
           660    -67.53E-36            8.
           661    -101.6E-36     24.18E-36
           662    -99.63E-03     142.5E-03
           663    -200.5E-03     316.8E-03
           664    -301.7E-03     515.2E-03
           665    -401.0E-03     731.4E-03
           666    -495.9E-03     961.4E-03
           667    -584.6E-03         1.203
           668    -666.1E-03         1.454
           669    -739.8E-03         1.715
           670    -805.2E-03         1.983
           671    -862.1E-03         2.258
           672    -910.3E-03         2.539
           673    -949.9E-03         2.825
           674    -980.7E-03         3.115
           675        -1.003         3.408
           676        -1.016         3.704
           677        -1.020            4.
           678        -1.016         4.296
           679        -1.003         4.592
           680    -980.7E-03         4.885
           681    -949.9E-03         5.175
           682    -910.3E-03         5.461
           683    -862.1E-03         5.742
           684    -805.2E-03         6.017
           685    -739.8E-03         6.285
           686    -666.1E-03         6.546
           687    -584.6E-03         6.797
           688    -495.9E-03         7.039
           689    -401.0E-03         7.269
           690    -301.7E-03         7.485
           691    -200.5E-03         7.683
           692    -99.63E-03         7.858
           693    -101.6E-36            8.
           694    -144.7E-36     10.65E-36
           695    -123.3E-03     146.4E-03
           696    -249.5E-03     328.6E-03
           697    -375.4E-03     533.5E-03
           698    -496.6E-03     753.3E-03
           699    -610.1E-03     984.7E-03
           700    -714.6E-03         1.226
           701    -809.4E-03         1.476
           702    -894.2E-03         1.735
           703    -969.0E-03         2.001
           704        -1.034         2.274
           705        -1.089         2.553
           706        -1.133         2.836
           707        -1.168         3.123
           708        -1.193         3.414
           709        -1.208         3.706
           710        -1.213            4.
           711        -1.208         4.294
           712        -1.193         4.586
           713        -1.168         4.877
           714        -1.133         5.164
           715        -1.089         5.447
           716        -1.034         5.726
           717    -969.0E-03         5.999
           718    -894.2E-03         6.265
           719    -809.4E-03         6.524
           720    -714.6E-03         6.774
           721    -610.1E-03         7.015
           722    -496.6E-03         7.247
           723    -375.4E-03         7.467
           724    -249.5E-03         7.671
           725    -123.3E-03         7.854
           726    -144.7E-36            8.
           727    -184.6E-36    -7.273E-36
           728    -155.7E-03     156.2E-03
           729    -316.7E-03     351.6E-03
           730    -472.7E-03     563.2E-03
           731    -617.6E-03     784.8E-03
           732    -750.0E-03         1.016
           733    -869.8E-03         1.255
           734    -977.3E-03         1.503
           735        -1.073         1.759
           736        -1.157         2.023
           737        -1.229         2.292
           738        -1.290         2.568
           739        -1.340         2.848
           740        -1.379         3.133
           741        -1.406         3.420
           742        -1.423         3.710
           743        -1.428            4.
           744        -1.423         4.290
           745        -1.406         4.580
           746        -1.379         4.867
           747        -1.340         5.152
           748        -1.290         5.432
           749        -1.229         5.708
           750        -1.157         5.977
           751        -1.073         6.241
           752    -977.3E-03         6.497
           753    -869.8E-03         6.745
           754    -750.0E-03         6.984
           755    -617.6E-03         7.215
           756    -472.7E-03         7.437
